Metabolite,PP-F D229,PP-F D360,PP-F D384,PP-F D391,PP-F D75,PP-F D274,PP-F D34,PP-F D356,PP-F D368,PP-F D370,PP/F D229,PP/F D360,PP/F D384,PP/F D391,PP/F D75,PP/F D274,PP/F D34,PP/F D356,PP/F D368,PP/F D370
C18:0/C16:0,0.01,0.02,0.0,0.01,-0.01,0.01,-0.02,0.01,0.01,0.02,1.03703703704,1.06896551724,1.0,1.04,0.96,1.04347826087,0.916666666667,1.04,1.04761904762,1.09090909091
%C20:4n6 (AA),0.000500000000001,-0.7305,-1.5874,-2.0888,-0.8026,-1.0839,-2.789,-1.9058,-1.4757,-1.0948,1.00004609569,0.923691632717,0.837106208312,0.775927912465,0.924454066265,0.84025055269,0.555325255102,0.808057206164,0.813791798107,0.869136983027
%C19:0,0.0006,-0.0003,-0.0026,-0.0003,-0.0053,0.002,0.0,-0.0044,0.0002,-0.0015,1.03157894737,0.988,0.881818181818,0.982352941176,0.810714285714,1.16666666667,1.0,0.8,1.01333333333,0.9
12_13-DiHOME-NE,3.29,0.54,6.47,8.35,6.79,0.67,12.72,5.38,6.94,4.89,1.81234567901,1.07659574468,2.56658595642,4.03636363636,3.12852664577,1.12115732369,6.57894736842,3.03018867925,6.78333333333,2.90272373541
C18:0,139.14,110.71,270.59,262.49,107.96,367.17,1370.76,401.42,321.97,376.97,1.207854678,1.19343397281,1.45507904474,1.39152484227,1.16226046442,1.31543814433,2.03004253145,1.63521853341,1.47127446245,1.45161792718
%C16:1n7t,0.0036,0.056,0.0526,0.0446,-0.0013,0.0565,0.0177,-0.0304,0.0398,-0.0063,1.01353383459,1.1717791411,1.21557377049,1.14113924051,0.995517241379,1.16520467836,1.05331325301,0.934763948498,1.10613333333,0.988829787234
5-HEPE-NE,0.07,-0.4,-0.08,-0.21,0.06,-0.69,1.03,-0.27,0.0,-0.27,1.125,0.375,0.783783783784,0.852112676056,1.06741573034,0.443548387097,1.45374449339,0.608695652174,1.0,0.754545454545
PGF2a-NE,1.84,-0.33,0.29,0.28,0.73,3.62,-7.54,-0.28,4.46,-0.48,1.79310344828,0.802395209581,1.31182795699,1.27450980392,1.71568627451,1.51862464183,0.267961165049,0.849462365591,2.68939393939,0.596638655462
15-KETE-To,-0.6,6.09,-0.23,-3.34,3.3,0.0,1.93,-0.2,-3.82,0.4,0.946428571429,1.95007800312,0.970052083333,0.655670103093,1.39759036145,1.0,1.21278941566,0.981818181818,0.676271186441,1.03100775194
16(17)-EpDPE-To,-3.0,4.9,-4.1,-1.51,1.3,12.0,-3.7,7.72,-7.8,0.7,0.819277108434,1.46666666667,0.724832214765,0.861467889908,1.11111111111,1.78947368421,0.829493087558,1.99228791774,0.665236051502,1.0593220339
9(10)-EpODE-To,-5.2,4.6,1.4,1.5,2.68,18.2,10.6,10.3,3.3,10.1,0.707865168539,1.28395061728,1.07,1.11627906977,1.27291242363,1.86666666667,1.32919254658,1.85833333333,1.16417910448,1.38846153846
C16:1n7,-6.51,12.42,22.38,49.31,123.67,94.72,533.17,68.12,35.58,85.11,0.95750097924,1.10286566175,1.22436090226,1.21255226518,1.63603168072,1.18220640569,2.06073929651,1.31385919646,1.17321454652,1.21140614521
Total NEFA,1857.56,788.76,3126.72,3195.61,2096.71,4506.63,20886.49,5420.12,4400.44,4808.73,1.16452255458,1.08765129728,1.36520831119,1.2769939541,1.21566364572,1.18176102049,2.06998652174,1.48627557937,1.31574611958,1.29433407232
14_15-DiHETE-To,-0.4,0.84,-0.2,0.42,-0.15,0.19,1.33,-0.01,-0.05,-0.06,0.550561797753,2.68,0.6875,2.27272727273,0.872881355932,1.14179104478,1.55416666667,0.991525423729,0.940476190476,0.941747572816
C18:1n9/C18:0,-0.11,0.03,0.33,0.26,0.44,0.23,1.08,0.19,0.23,-0.11,0.961130742049,1.01176470588,1.1375,1.08024691358,1.19642857143,1.06388888889,1.33540372671,1.05792682927,1.06804733728,0.975225225225
C22:6n3 (DHA),23.31,-7.97,10.01,-3.7,29.14,4.32,48.09,30.75,5.29,14.72,1.11842105263,0.945914766558,1.0743850784,0.985683884697,1.14862797103,1.01048696412,1.13449867151,1.16823503666,1.01440161167,1.10453060645
C14:0,10.23,26.94,63.8,80.32,22.01,78.58,532.22,88.21,85.12,95.08,1.15418236624,1.39605998236,2.26211671612,1.75773584906,1.15922737467,1.39151013901,2.7120890433,2.0321787971,1.7025420931,1.57384271833
C22:5n3 (DPA),8.65,-17.04,8.12,1.98,6.73,18.99,15.36,10.63,4.48,13.21,1.15859919325,0.736386138614,1.23002832861,1.04149203688,1.20107559008,1.18189655172,1.11761102603,1.20163125948,1.07341855129,1.15803325757
15(16)-EpODE-To,3.4,35.7,37.5,29.1,10.6,79.8,138.2,40.4,17.6,69.3,1.14977973568,2.67605633803,2.42585551331,3.13970588235,1.9298245614,3.0890052356,4.5618556701,3.16042780749,1.59661016949,2.99711815562
_ (n-3) PUFA,48.24,-35.32,48.49,41.38,61.64,82.02,331.98,117.43,68.72,98.97,1.1259957688,0.908523477765,1.17103453141,1.08791162099,1.17667459658,1.08179587929,1.31226954624,1.30090196279,1.10879959469,1.22453378102
_ MUFA,329.38,350.16,1038.58,1225.29,752.81,1898.21,8318.45,1701.42,1463.76,1737.29,1.14916694216,1.20223161688,1.62361446362,1.47109687689,1.40905805961,1.37315360511,2.63376594299,1.68295835424,1.52978924395,1.39129475095
C15:0,3.28,2.68,5.86,10.51,3.04,8.4,34.56,1.52,11.22,10.33,1.13993174061,1.18144888287,1.31353665062,1.46076282332,1.13712223726,1.21694214876,2.22379603399,1.05688622754,1.39396067416,1.33780248528
C18:1n9,307.01,304.6,936.81,1091.91,583.64,1671.79,7338.02,1507.66,1319.72,1537.88,1.16213632739,1.20883897596,1.65777980621,1.5027950711,1.39105119632,1.39910190791,2.7140661425,1.72713680779,1.57162657935,1.41469169392
C17:0,4.38,2.36,7.79,11.13,4.02,14.91,42.72,10.89,14.03,14.91,1.14590273151,1.09577922078,1.27545968883,1.46569037657,1.16784968685,1.36215691037,2.22582496413,1.39088298636,1.41398642667,1.45568459658
_ SFA,600.61,382.36,1122.53,1322.19,675.99,1759.38,8766.79,1934.05,1690.83,1763.63,1.18311727115,1.14262427776,1.44493285558,1.37527886422,1.19266109955,1.2678246044,2.20899896294,1.58463012672,1.40872205315,1.35606589812
C18:3n3,6.58,-5.31,27.96,40.59,16.49,41.35,198.62,58.03,49.8,54.09,1.1201387621,0.93941122775,1.45768538222,1.57233502538,1.4089781746,1.23187349296,2.01455789958,1.69755980286,1.5174025974,1.41700716984
C18:1n7,19.5,22.1,55.5,57.79,33.65,92.04,330.26,94.4,74.08,75.54,1.16141047926,1.19899153611,1.50735899077,1.40387168915,1.28901485871,1.34106573779,2.53274237713,1.70865550634,1.40086580087,1.34414578588
C16:0,442.39,237.58,768.48,911.07,539.1,1286.04,6758.3,1430.07,1254.72,1261.79,1.17822783382,1.11934975033,1.4210664738,1.33862101519,1.20354610465,1.25169438285,2.22145972236,1.56636211342,1.38467811659,1.32551150186
C16:1n7t,5.37,8.04,13.8,16.63,5.92,31.99,76.45,20.19,23.8,25.73,1.17858330562,1.27393526405,1.66123622425,1.45574129899,1.20992907801,1.37737407102,2.17851086789,1.38856812933,1.45541523153,1.2790369808
12-HpETE %-To,0.076,0.542,-0.216,-0.3082,-0.0902,0.509,0.132,0.629,-0.656,0.35,1.44705882353,7.02222222222,0.485714285714,0.143888888889,0.398666666667,3.21304347826,1.24,3.7347826087,0.237209302326,1.875
C20:2n6,3.17,1.19,10.58,10.85,4.23,12.47,31.62,14.56,9.42,11.67,1.20937912814,1.06233630173,1.67004433186,1.63936358279,1.25059241706,1.31300200803,1.93356953056,1.70542635659,1.36286594761,1.4410430839
15-HpETE %-To,0.23,2.59,-0.75,-1.34,-0.55,1.93,1.07,2.45,-3.07,1.59,1.2987012987,6.28571428571,0.545454545455,0.124183006536,0.352941176471,2.8380952381,1.43673469388,2.88461538462,0.238213399504,1.76076555024
13-HpODE %-To,0.15,1.34,-0.31,-0.64,-0.16,1.57,0.84,1.02,-2.12,0.6,1.30612244898,5.46666666667,0.655555555556,0.228915662651,0.567567567568,2.27642276423,1.54193548387,2.5,0.263888888889,1.47619047619
9-HpODE %-To,0.32,4.81,-1.28,-2.07,-0.63,6.75,3.08,2.73,-6.76,3.09,1.18285714286,5.4128440367,0.583061889251,0.241758241758,0.565517241379,2.66666666667,1.5141903172,1.94791666667,0.266015200869,1.72535211268
%C17:0,-0.0044,0.0018,-0.0214,0.0308,-0.0093,0.0254,0.013,-0.0161,0.0183,0.0252,0.983458646617,1.00656934307,0.935151515152,1.14879227053,0.962195121951,1.15301204819,1.07262569832,0.9356,1.07530864198,1.126
6-keto PGF1a-To,-0.11,-0.04,-0.08,-0.02,0.1,-0.09,-0.2,-0.02,0.01,0.03,0.694444444444,0.878787878788,0.724137931034,0.939393939394,1.38461538462,0.756756756757,0.0,0.925925925926,1.03571428571,1.125
12(13)-EpOME-NE,10.13,2.61,23.27,15.31,6.22,3.35,17.11,10.71,10.2,5.83,4.65703971119,1.45391304348,6.77419354839,5.65349544073,3.10847457627,1.654296875,10.5586592179,4.83870967742,6.36842105263,2.52219321149
%C18:0,0.2206,0.6188,0.4572,0.5215,-0.301,0.5307,-0.1311,0.5677,0.5796,0.621,1.0372069489,1.09729559748,1.06583153348,1.08974358974,0.95601987142,1.11303514377,0.980768666569,1.10012345679,1.1182374541,1.12155020552
C18:0-NEFA,-22.88,-13.64,-16.73,16.85,-22.55,14.28,-7.5,4.24,12.93,36.08,0.464419475655,0.707233311869,0.72946313066,1.70828079025,0.558535630384,1.34310427679,0.783111625217,1.09835305034,1.39956736712,3.30248883216
_ (n-6)/_ (n-3) ,0.45,1.35,0.66,0.34,-0.25,-0.21,1.12,0.35,0.69,-0.47,1.03177966102,1.12408088235,1.04576976422,1.03238095238,0.978317432784,0.982644628099,1.1947826087,1.02755905512,1.06804733728,0.968157181572
15(16)-EpODE-NE,5.61,1.85,11.92,14.51,4.67,4.64,18.01,8.48,11.28,8.12,3.95263157895,1.40130151844,5.44776119403,17.3033707865,4.56488549618,3.53551912568,17.5229357798,7.52307692308,19.1935483871,4.27419354839
9_10-DiHOME-NE,2.96,2.8,7.56,7.79,8.65,2.51,9.64,2.3,6.58,3.11,1.65054945055,1.37837837838,2.59493670886,3.15789473684,2.53097345133,1.43576388889,4.25675675676,1.3309352518,3.60079051383,1.88101983003
%_ (n-6) PUFA,-0.1155,-2.9582,-4.8822,-5.03,-2.1507,-4.8759,-7.6361,-4.3744,-4.5036,-3.2576,0.997618065581,0.9379181532,0.899294554455,0.884234752589,0.948560153073,0.901814337495,0.763807609032,0.903242645432,0.903459807074,0.919763546798
C20:0-NEFA,-0.12,-0.07,0.11,0.19,-0.13,0.22,0.05,0.15,0.35,0.28,0.666666666667,0.844444444444,1.23913043478,1.79166666667,0.734693877551,1.66666666667,1.16666666667,1.40540540541,2.0,2.03703703704
15_16-DiHODE-NE,11.5,5.9,20.2,25.52,11.0,7.4,22.54,15.5,17.88,9.36,1.8041958042,1.27064220183,2.78761061947,5.06369426752,2.22222222222,1.44578313253,3.63317757009,2.37168141593,4.63414634146,2.10900473934
%C22:4n6,0.0278,-0.0304,-0.0426,-0.0007,-0.0111,-0.0088,-0.0549,0.0117,-0.0039,-0.0053,1.14631578947,0.842487046632,0.799056603774,0.996195652174,0.926490066225,0.921428571429,0.667272727273,1.06464088398,0.9675,0.978189300412
_ SFA-NEFA,-146.42,-129.08,-85.34,56.44,-65.26,56.19,-57.13,-1.58,38.95,165.78,0.366119745444,0.493585468241,0.720031493996,1.58366080662,0.634254329429,1.31020205366,0.67679339217,0.990315660435,1.22126910186,3.40784313725
C16:0-NEFA,-108.68,-101.23,-62.78,35.65,-39.56,35.64,-42.65,-4.45,22.58,115.89,0.331282303716,0.439106826241,0.706264913676,1.57168056446,0.645868767344,1.29079634465,0.647491528225,0.956205097923,1.18639590556,3.69073601114
C18:3n3-NEFA,-6.41,-9.86,-1.79,1.54,-4.89,2.7,-1.41,-3.56,2.92,5.6,0.297149122807,0.330163043478,0.843804537522,1.41066666667,0.514399205561,1.35952063915,0.813738441215,0.629552549428,1.40499306519,5.86956521739
C20:5n3-NEFA,-0.25,-0.83,-0.71,-0.2,-0.65,-0.29,-0.53,-0.05,-0.35,0.38,0.596774193548,0.585,0.766447368421,0.607843137255,0.429824561404,0.776923076923,0.480392156863,0.888888888889,0.681818181818,1.57575757576
C20:4n6/C20:3n6,-0.15,0.34,0.16,-0.03,-0.18,-0.1,-0.23,-0.04,-0.04,0.03,0.988540870894,1.06028368794,1.02285714286,0.995670995671,0.982,0.979423868313,0.960750853242,0.994798439532,0.994350282486,1.00444444444
C18:1n7-NEFA,-7.96,-10.46,-2.23,2.04,-2.59,2.03,-1.18,-1.25,1.73,7.72,0.2770208901,0.336715282181,0.784123910939,1.544,0.648097826087,1.25959079284,0.825443786982,0.842964824121,1.22409326425,4.62441314554
Total NEFA-NEFA,-426.01,-441.29,-149.94,113.04,-181.33,141.74,-135.24,-47.86,129.3,420.67,0.330551888868,0.428099323501,0.779315014056,1.43020246613,0.620457970529,1.28772100765,0.727168189796,0.893181564558,1.27851973117,3.76538259269
C18:1n9-NEFA,-164.19,-163.6,-37.63,29.67,-57.24,48.2,-34.89,-24.03,43.28,144.53,0.237814501903,0.358280379697,0.806020928914,1.4014341767,0.587399985584,1.36026608865,0.752184103985,0.831781589079,1.29916361374,6.34109386548
%C20:0,0.0013,0.0155,0.0188,0.0154,-0.0056,0.0071,0.0295,0.004,0.0054,0.0119,1.04642857143,1.31632653061,1.5875,1.41621621622,0.888,1.25357142857,1.75641025641,1.10256410256,1.216,1.34
_ MUFA-NEFA,-193.25,-203.56,-46.04,31.09,-65.04,53.26,-43.76,-33.41,41.98,171.29,0.237070667193,0.34611801741,0.797385908551,1.35764408144,0.589160507864,1.34665451705,0.737539734901,0.799387534526,1.24131984364,5.96492753623
_ (n-3) PUFA-NEFA,-9.22,-15.3,-8.8,0.63,-9.28,-1.3,-3.7,-5.34,2.37,10.21,0.428394296342,0.430591737998,0.688715953307,1.0665961945,0.508994708995,0.946743138058,0.74143955276,0.657252888318,1.13550600343,2.58540372671
C20:2n6-NEFA,-0.85,-0.83,-0.05,0.51,-0.47,0.63,-0.3,0.41,1.05,1.11,0.401408450704,0.551351351351,0.962686567164,1.64556962025,0.666666666667,1.38414634146,0.777777777778,1.37272727273,2.0824742268,2.91379310345
C22:5n3-NEFA,-1.09,-1.57,-1.76,-0.14,-0.85,-0.64,-0.54,-0.4,0.06,0.76,0.327160493827,0.337552742616,0.465045592705,0.820512820513,0.421768707483,0.739837398374,0.668711656442,0.550561797753,1.03636363636,2.28813559322
%C15:0,-0.0048,0.0142,-0.0079,0.0282,-0.0147,0.0048,0.0104,-0.0695,0.0125,0.0064,0.976923076923,1.08658536585,0.96376146789,1.14242424242,0.935526315789,1.03076923077,1.07172413793,0.710416666667,1.0612745098,1.03422459893
11_12-DiHETrE-NE,-0.52,-0.39,-0.05,-0.32,0.51,0.06,-0.01,0.21,0.0,-0.36,0.555555555556,0.576086956522,0.941176470588,0.604938271605,1.96226415094,1.12,0.982456140351,1.33870967742,1.0,0.678571428571
9-HOTE-NE,0.62,0.93,2.25,2.3,0.98,0.95,3.41,2.68,1.87,0.58,1.47328244275,1.7380952381,2.41509433962,2.74242424242,2.50769230769,1.65068493151,4.15740740741,3.17886178862,3.14942528736,1.36942675159
C17:0-NEFA,-1.57,-0.7,-0.74,0.57,-0.74,0.35,-0.48,-0.64,0.26,1.6,0.420664206642,0.660194174757,0.691666666667,1.52293577982,0.647619047619,1.15625,0.717647058824,0.733333333333,1.14130434783,2.81818181818
19_20-DiHDoPE-NE,-0.63,-0.22,-0.24,-0.28,0.4,0.13,0.26,0.47,0.31,-0.01,0.748,0.879120879121,0.846153846154,0.826086956522,1.19138755981,1.1,1.25742574257,1.35074626866,1.12653061224,0.988235294118
C18:2n6-NEFA,-70.78,-91.22,-6.79,23.45,-35.91,29.88,-26.77,-7.17,41.84,65.11,0.324166905376,0.375547645126,0.918438438438,1.55215446197,0.597240915209,1.29663456766,0.730548565677,0.904730268403,1.64657703601,5.02161828289
%C20:3n6,0.0103,-0.2169,-0.2529,-0.2973,-0.0617,-0.1975,-0.4502,-0.2416,-0.204,-0.167,1.01243961353,0.872110849057,0.818318965517,0.77912332838,0.941902071563,0.858422939068,0.578858746492,0.812858249419,0.817857142857,0.865213882163
%C21:0,-0.0013,-0.0013,0.0091,0.2679,0.0023,-0.0012,-0.0016,-0.0028,-0.0003,-0.0017,0.74,0.87,inf,25.3545454545,1.575,0.76,0.6,0.533333333333,0.9,0.66
%C18:2n6,-0.1413,-1.7753,-2.9937,-2.8203,-1.425,-3.5604,-4.1475,-2.2688,-2.9036,-2.0086,0.996041684175,0.948101265823,0.916579819991,0.910158639144,0.950890857084,0.910612337124,0.820640892579,0.929597219636,0.920055066079,0.930840477912
C16:1n7t-NEFA,-2.43,-1.88,0.06,0.13,-0.77,0.82,-0.09,0.03,0.73,1.25,0.360526315789,0.536945812808,1.0192926045,1.0625,0.700389105058,1.24624624625,0.967032967033,1.0134529148,1.22741433022,1.96153846154
%-C18:3n3-NEFA,-0.144,-0.436,0.139,-0.021,-0.361,0.086,0.18,-0.632,0.153,0.421,0.899511514306,0.771488469602,1.08239478364,0.985294117647,0.828747628083,1.05643044619,1.11780104712,0.705223880597,1.09851899549,1.55540897098
_ (n-6) PUFA-NEFA,-76.12,-99.79,-10.57,23.73,-42.07,29.62,-31.54,-8.91,44.46,70.54,0.362211981567,0.397548901232,0.895086848635,1.43302919708,0.605124835742,1.25071948536,0.738604342781,0.899116847826,1.55381165919,3.61162532395
